# time totalContactTime
1.1000 50.6000
2.1000 96.6000
3.1000 142.6000
4.1000 188.6000
5.2000 239.2000
6.3000 289.8000
7.4000 340.4000
8.5000 391.0000
9.6000 441.6000
10.7000 492.2000
11.8000 542.8000
12.9000 593.4000
14.0000 644.0000
15.1000 694.6000
16.2000 745.2000
17.2000 791.2000
18.2000 837.2000
19.2000 883.2000
20.2000 929.2000
21.2000 975.2000
22.2000 1021.2000
23.2000 1067.2000
24.2000 1113.2000
25.2000 1159.2000
26.2000 1205.2000
27.2000 1251.2000
28.2000 1297.2000
29.2000 1343.2000
30.2000 1389.2000
31.2000 1435.2000
32.2000 1481.2000
33.2000 1527.2000
34.2000 1573.2000
35.2000 1619.2000
36.2000 1665.2000
37.2000 1711.2000
38.2000 1757.2000
39.2000 1803.2000
40.2000 1849.2000
41.2000 1895.2000
42.2000 1941.2000
43.2000 1987.2000
44.2000 2033.2000
45.2000 2079.2000
46.2000 2125.2000
47.2000 2171.2000
48.2000 2217.2000
49.2000 2263.2000
50.2000 2309.2000
51.2000 2355.2000
52.2000 2401.2000
53.2000 2447.2000
54.2000 2493.2000
55.2000 2539.2000
56.2000 2585.2000
57.2000 2631.2000
58.2000 2677.2000
59.2000 2723.2000
60.2000 2769.2000
61.2000 2815.2000
62.2000 2861.2000
63.2000 2907.2000
64.2000 2953.2000
65.3000 3003.8000
66.4000 3054.4000
67.5000 3105.0000
68.6000 3155.6000
69.7000 3206.2000
70.8000 3256.8000
71.9000 3307.4000
73.0000 3358.0000
74.1000 3408.6000
75.2000 3459.2000
76.3000 3509.8000
77.4000 3560.4000
78.5000 3611.0000
79.6000 3661.6000
80.7000 3712.2000
81.8000 3762.8000
82.9000 3813.4000
84.0000 3864.0000
85.1000 3914.6000
86.2000 3965.2000
87.3000 4015.8000
88.4000 4066.4000
89.5000 4117.0000
90.6000 4167.6000
91.7000 4218.2000
92.8000 4268.8000
93.9000 4319.4000
95.0000 4370.0000
96.1000 4420.6000
97.2000 4471.2000
98.3000 4521.8000
99.4000 4572.4000
100.5000 4623.0000
101.6000 4672.8000
102.7000 4719.0000
103.8000 4765.2000
104.9000 4811.4000
106.0000 4857.6000
107.1000 4903.8000
108.2000 4950.0000
109.3000 4996.2000
110.4000 5042.4000
111.5000 5088.6000
112.6000 5134.8000
113.7000 5181.0000
114.8000 5227.2000
115.9000 5273.4000
117.0000 5319.6000
118.1000 5365.8000
119.2000 5412.0000
120.3000 5458.2000
121.4000 5504.4000
122.5000 5550.6000
123.6000 5596.8000
124.7000 5643.0000
125.8000 5689.2000
126.9000 5735.4000
128.0000 5781.6000
129.1000 5827.8000
130.2000 5874.0000
131.3000 5920.2000
132.4000 5966.4000
133.5000 6012.6000
134.6000 6058.8000
135.7000 6105.0000
136.8000 6151.2000
137.9000 6197.4000
139.0000 6243.6000
140.1000 6289.8000
141.2000 6336.0000
142.3000 6382.2000
143.4000 6428.4000
144.5000 6474.6000
145.6000 6520.8000
146.7000 6567.0000
147.8000 6613.2000
148.9000 6659.4000
150.0000 6705.6000
151.1000 6751.8000
152.2000 6798.0000
153.3000 6844.2000
154.4000 6890.4000
155.5000 6936.6000
156.6000 6982.8000
157.7000 7029.0000
158.8000 7075.2000
159.9000 7121.4000
161.0000 7167.6000
162.1000 7213.8000
163.2000 7260.0000
164.3000 7306.2000
165.4000 7352.4000
166.5000 7398.6000
167.6000 7444.8000
168.7000 7491.0000
169.8000 7537.2000
170.9000 7583.4000
172.0000 7629.6000
173.1000 7675.8000
174.2000 7722.0000
175.3000 7768.2000
176.4000 7814.4000
177.5000 7860.6000
178.6000 7906.8000
179.7000 7953.0000
180.8000 7999.2000
181.9000 8045.4000
183.0000 8091.6000
184.1000 8137.8000
185.2000 8184.0000
186.3000 8230.2000
187.4000 8276.4000
188.5000 8322.6000
189.6000 8368.8000
190.7000 8415.0000
191.8000 8461.2000
192.9000 8507.4000
194.0000 8553.6000
195.1000 8599.8000
196.2000 8646.0000
197.3000 8692.2000
198.4000 8738.4000
199.5000 8784.6000
200.6000 8830.8000
201.7000 8877.0000
202.8000 8923.2000
203.9000 8969.4000
205.0000 9015.6000
206.1000 9061.8000
207.2000 9108.0000
208.3000 9154.2000
209.4000 9200.4000
210.5000 9246.6000
211.6000 9292.8000
212.7000 9339.0000
213.8000 9385.2000
214.9000 9431.4000
216.0000 9477.6000
217.1000 9523.8000
218.2000 9570.0000
219.3000 9616.2000
220.4000 9662.4000
221.5000 9708.6000
222.6000 9754.8000
223.7000 9801.0000
224.8000 9847.2000
225.9000 9893.4000
227.0000 9939.6000
228.1000 9985.8000
229.2000 10032.0000
230.3000 10078.2000
231.4000 10124.4000
232.5000 10170.6000
233.6000 10216.8000
234.7000 10263.0000
235.8000 10309.2000
236.9000 10355.4000
238.0000 10401.6000
239.1000 10447.8000
240.2000 10494.0000
241.3000 10540.2000
242.4000 10586.4000
243.5000 10632.6000
244.6000 10678.8000
245.7000 10725.0000
246.8000 10771.2000
247.9000 10817.4000
249.0000 10863.6000
250.1000 10909.8000
251.2000 10956.0000
252.3000 11002.2000
253.4000 11048.4000
254.5000 11094.6000
255.6000 11140.8000
256.6000 11182.8000
257.6000 11224.8000
258.6000 11266.8000
259.6000 11308.8000
260.6000 11350.8000
261.6000 11392.8000
262.6000 11434.8000
263.6000 11476.8000
264.6000 11518.8000
265.6000 11560.8000
266.6000 11602.8000
267.6000 11644.8000
268.6000 11686.8000
269.6000 11728.8000
270.6000 11770.8000
271.6000 11812.8000
272.6000 11854.8000
273.6000 11896.8000
274.6000 11938.8000
275.6000 11980.8000
276.6000 12022.8000
277.6000 12064.8000
278.6000 12106.8000
279.6000 12148.8000
280.6000 12190.8000
281.6000 12232.8000
282.6000 12274.8000
283.6000 12316.8000
284.6000 12358.8000
285.6000 12400.8000
286.6000 12442.8000
287.6000 12484.8000
288.6000 12526.8000
289.6000 12568.8000
290.6000 12610.8000
291.6000 12652.8000
292.6000 12694.8000
293.6000 12736.8000
294.6000 12778.8000
295.6000 12820.8000
296.6000 12862.8000
297.6000 12904.8000
298.6000 12946.8000
299.6000 12988.8000
300.6000 13030.8000
301.6000 13071.2000
302.6000 13105.2000
303.6000 13139.2000
304.6000 13173.2000
305.6000 13207.2000
306.6000 13241.2000
307.6000 13275.2000
308.6000 13309.2000
309.6000 13343.2000
310.6000 13377.2000
311.6000 13411.2000
312.6000 13445.2000
313.6000 13479.2000
314.6000 13513.2000
315.6000 13547.2000
316.6000 13581.2000
317.6000 13615.2000
318.6000 13649.2000
319.6000 13683.2000
320.6000 13717.2000
321.6000 13751.2000
322.6000 13785.2000
