# time totalContactTime
1.1000 50.6000
2.1000 96.6000
3.1000 142.6000
4.1000 188.6000
5.2000 239.2000
6.3000 289.8000
7.4000 340.4000
8.5000 391.0000
9.6000 441.6000
10.7000 492.2000
11.8000 542.8000
12.9000 593.4000
14.0000 644.0000
15.1000 694.6000
16.2000 745.2000
17.2000 791.2000
18.2000 837.2000
19.2000 883.2000
20.2000 929.2000
21.2000 975.2000
22.2000 1021.2000
23.2000 1067.2000
24.2000 1113.2000
25.2000 1159.2000
26.2000 1205.2000
27.2000 1251.2000
28.2000 1297.2000
29.2000 1343.2000
30.2000 1389.2000
31.2000 1435.2000
32.2000 1481.2000
33.2000 1527.2000
34.2000 1573.2000
35.2000 1619.2000
36.2000 1665.2000
37.2000 1711.2000
38.2000 1757.2000
39.2000 1803.2000
40.2000 1849.2000
41.2000 1895.2000
42.2000 1941.2000
43.2000 1987.2000
44.2000 2033.2000
45.2000 2079.2000
46.2000 2125.2000
47.2000 2171.2000
48.2000 2217.2000
49.2000 2263.2000
50.2000 2309.2000
51.2000 2355.2000
52.2000 2401.2000
53.2000 2447.2000
54.2000 2493.2000
55.2000 2539.2000
56.2000 2585.2000
57.2000 2631.2000
58.2000 2677.2000
59.2000 2723.2000
60.2000 2769.2000
61.2000 2815.2000
62.2000 2861.2000
63.2000 2907.2000
64.2000 2953.2000
65.3000 3003.8000
66.4000 3054.4000
67.5000 3105.0000
68.6000 3155.6000
69.7000 3206.2000
70.8000 3256.8000
71.9000 3307.4000
73.0000 3358.0000
74.1000 3408.6000
75.2000 3459.2000
76.3000 3509.8000
77.4000 3560.4000
78.5000 3611.0000
79.6000 3661.6000
80.7000 3712.2000
81.8000 3762.8000
82.9000 3813.4000
84.0000 3864.0000
85.1000 3914.6000
86.2000 3965.2000
87.3000 4015.8000
88.4000 4066.4000
89.5000 4117.0000
90.6000 4167.6000
91.7000 4218.2000
92.8000 4268.8000
93.9000 4319.4000
95.0000 4370.0000
96.1000 4420.6000
97.2000 4471.2000
98.3000 4521.8000
99.4000 4572.4000
100.5000 4623.0000
101.6000 4673.6000
102.7000 4724.2000
103.8000 4774.8000
104.9000 4825.4000
106.0000 4876.0000
107.1000 4926.6000
108.2000 4977.2000
109.3000 5027.8000
110.4000 5078.4000
111.5000 5129.0000
112.6000 5179.6000
113.7000 5230.2000
114.8000 5280.8000
115.9000 5331.4000
117.0000 5382.0000
118.1000 5432.6000
119.2000 5483.2000
120.3000 5533.8000
121.4000 5584.4000
122.5000 5635.0000
123.6000 5685.6000
124.7000 5736.2000
125.8000 5786.8000
126.9000 5837.4000
128.0000 5888.0000
129.1000 5938.6000
130.2000 5989.2000
131.3000 6039.8000
132.4000 6090.4000
133.5000 6141.0000
134.6000 6191.6000
135.7000 6242.2000
136.8000 6292.8000
137.9000 6343.4000
139.0000 6394.0000
140.1000 6444.6000
141.2000 6495.2000
142.3000 6545.8000
143.4000 6596.4000
144.5000 6647.0000
145.6000 6697.6000
146.7000 6748.2000
147.8000 6798.8000
148.9000 6849.4000
150.0000 6900.0000
151.1000 6950.6000
152.2000 7001.2000
153.3000 7051.8000
154.4000 7102.4000
155.5000 7153.0000
156.6000 7203.6000
157.7000 7254.2000
158.8000 7304.8000
159.9000 7355.4000
161.0000 7406.0000
162.1000 7456.6000
163.2000 7507.2000
164.3000 7557.8000
165.4000 7608.4000
166.5000 7659.0000
167.6000 7709.6000
168.7000 7760.2000
169.8000 7810.8000
170.9000 7861.4000
172.0000 7912.0000
173.1000 7962.6000
174.2000 8013.2000
175.3000 8063.8000
176.4000 8114.4000
177.5000 8165.0000
178.6000 8215.6000
179.7000 8266.2000
180.8000 8316.8000
181.9000 8367.4000
183.0000 8418.0000
184.1000 8468.6000
185.2000 8519.2000
186.3000 8569.8000
187.4000 8620.4000
188.5000 8671.0000
189.6000 8721.6000
190.7000 8772.2000
191.8000 8822.8000
192.9000 8873.4000
194.0000 8924.0000
195.1000 8974.6000
196.2000 9025.2000
197.3000 9075.8000
198.4000 9126.4000
199.5000 9177.0000
200.6000 9227.6000
201.7000 9275.8000
202.8000 9317.6000
203.9000 9359.4000
205.0000 9401.2000
206.1000 9443.0000
207.2000 9484.8000
208.3000 9526.6000
209.4000 9568.4000
210.5000 9610.2000
211.6000 9652.0000
212.7000 9693.8000
213.8000 9735.6000
214.9000 9777.4000
216.0000 9819.2000
217.1000 9861.0000
218.2000 9902.8000
219.3000 9944.6000
220.4000 9986.4000
221.5000 10028.2000
222.6000 10070.0000
223.7000 10111.8000
224.8000 10153.6000
225.9000 10195.4000
227.0000 10237.2000
228.1000 10279.0000
229.2000 10320.8000
230.3000 10362.6000
231.4000 10404.4000
232.5000 10446.2000
233.6000 10488.0000
234.7000 10529.8000
235.8000 10571.6000
236.9000 10613.4000
238.0000 10655.2000
239.1000 10697.0000
240.2000 10738.8000
241.3000 10780.6000
242.4000 10822.4000
243.5000 10864.2000
244.6000 10906.0000
245.7000 10947.8000
246.8000 10989.6000
247.9000 11031.4000
249.0000 11073.2000
250.1000 11115.0000
251.2000 11156.8000
252.3000 11198.6000
253.4000 11240.4000
254.5000 11282.2000
255.6000 11324.0000
256.6000 11362.0000
257.6000 11400.0000
258.6000 11438.0000
259.6000 11476.0000
260.6000 11514.0000
261.6000 11552.0000
262.6000 11590.0000
263.6000 11628.0000
264.6000 11666.0000
265.6000 11704.0000
266.6000 11742.0000
267.6000 11780.0000
268.6000 11818.0000
269.6000 11856.0000
270.6000 11894.0000
271.6000 11932.0000
272.6000 11970.0000
273.6000 12008.0000
274.6000 12046.0000
275.6000 12084.0000
276.6000 12122.0000
277.6000 12160.0000
278.6000 12198.0000
279.6000 12236.0000
280.6000 12274.0000
281.6000 12312.0000
282.6000 12350.0000
283.6000 12388.0000
284.6000 12426.0000
285.6000 12464.0000
286.6000 12502.0000
287.6000 12540.0000
288.6000 12578.0000
289.6000 12616.0000
290.6000 12654.0000
291.6000 12692.0000
292.6000 12730.0000
293.6000 12768.0000
294.6000 12806.0000
295.6000 12844.0000
296.6000 12882.0000
297.6000 12920.0000
298.6000 12958.0000
299.6000 12996.0000
300.6000 13034.0000
301.6000 13070.6000
302.6000 13101.6000
303.6000 13132.6000
304.6000 13163.6000
305.6000 13194.6000
306.6000 13225.6000
307.6000 13256.6000
308.6000 13287.6000
309.6000 13318.6000
310.6000 13349.6000
311.6000 13380.6000
312.6000 13411.6000
313.6000 13442.6000
314.6000 13473.6000
315.6000 13504.6000
316.6000 13535.6000
317.6000 13566.6000
318.6000 13597.6000
319.6000 13628.6000
320.6000 13659.6000
321.6000 13690.6000
322.6000 13721.6000
