# time totalContactTime
1.1000 47.3000
2.1000 90.3000
3.1000 133.3000
4.1000 176.3000
5.2000 223.6000
6.3000 270.9000
7.4000 318.2000
8.5000 365.5000
9.6000 412.8000
10.7000 460.1000
11.8000 507.4000
12.9000 554.7000
14.0000 602.0000
15.1000 649.3000
16.2000 696.6000
17.2000 739.6000
18.2000 782.6000
19.2000 825.6000
20.2000 868.6000
21.2000 911.6000
22.2000 954.6000
23.2000 997.6000
24.2000 1040.6000
25.2000 1083.6000
26.2000 1126.6000
27.2000 1169.6000
28.2000 1212.6000
29.2000 1255.6000
30.2000 1298.6000
31.2000 1341.6000
32.2000 1384.6000
33.2000 1427.6000
34.2000 1470.6000
35.2000 1513.6000
36.2000 1556.6000
37.2000 1599.6000
38.2000 1642.6000
39.2000 1685.6000
40.2000 1728.6000
41.2000 1771.6000
42.2000 1814.6000
43.2000 1857.6000
44.2000 1900.6000
45.2000 1943.6000
46.2000 1986.6000
47.2000 2029.6000
48.2000 2072.6000
49.2000 2115.6000
50.2000 2158.6000
51.2000 2201.6000
52.2000 2244.6000
53.2000 2287.6000
54.2000 2330.6000
55.2000 2373.6000
56.2000 2416.6000
57.2000 2459.6000
58.2000 2502.6000
59.2000 2545.6000
60.2000 2588.6000
61.2000 2631.6000
62.2000 2674.6000
63.2000 2717.6000
64.2000 2760.6000
65.3000 2807.9000
66.4000 2855.2000
67.5000 2902.5000
68.6000 2949.8000
69.7000 2997.1000
70.8000 3044.4000
71.9000 3091.7000
73.0000 3139.0000
74.1000 3186.3000
75.2000 3233.6000
76.3000 3280.9000
77.4000 3328.2000
78.5000 3375.5000
79.6000 3422.8000
80.7000 3470.1000
81.8000 3517.4000
82.9000 3564.7000
84.0000 3612.0000
85.1000 3659.3000
86.2000 3706.6000
87.3000 3753.9000
88.4000 3801.2000
89.5000 3848.5000
90.6000 3895.8000
91.7000 3943.1000
92.8000 3990.4000
93.9000 4037.7000
95.0000 4085.0000
96.1000 4132.3000
97.2000 4179.6000
98.3000 4226.9000
99.4000 4274.2000
100.5000 4321.5000
101.6000 4368.8000
102.7000 4416.1000
103.8000 4463.4000
104.9000 4510.7000
106.0000 4558.0000
107.1000 4605.3000
108.2000 4652.6000
109.3000 4699.9000
110.4000 4747.2000
111.5000 4794.5000
112.6000 4841.8000
113.7000 4889.1000
114.8000 4936.4000
115.9000 4983.7000
117.0000 5031.0000
118.1000 5078.3000
119.2000 5125.6000
120.3000 5172.9000
121.4000 5220.2000
122.5000 5267.5000
123.6000 5314.8000
124.7000 5362.1000
125.8000 5409.4000
126.9000 5456.7000
128.0000 5504.0000
129.1000 5551.3000
130.2000 5598.6000
131.3000 5645.9000
132.4000 5693.2000
133.5000 5740.5000
134.6000 5787.8000
135.7000 5835.1000
136.8000 5882.4000
137.9000 5929.7000
139.0000 5977.0000
140.1000 6024.3000
141.2000 6071.6000
142.3000 6118.9000
143.4000 6166.2000
144.5000 6213.5000
145.6000 6260.8000
146.7000 6308.1000
147.8000 6355.4000
148.9000 6402.7000
150.0000 6450.0000
151.1000 6497.3000
152.2000 6544.6000
153.3000 6591.9000
154.4000 6639.2000
155.5000 6686.5000
156.6000 6733.8000
157.7000 6781.1000
158.8000 6828.4000
159.9000 6875.7000
161.0000 6923.0000
162.1000 6970.3000
163.2000 7017.6000
164.3000 7064.9000
165.4000 7112.2000
166.5000 7159.5000
167.6000 7206.8000
168.7000 7254.1000
169.8000 7301.4000
170.9000 7348.7000
172.0000 7396.0000
173.1000 7443.3000
174.2000 7490.6000
175.3000 7537.9000
176.4000 7585.2000
177.5000 7632.5000
178.6000 7679.8000
179.7000 7727.1000
180.8000 7774.4000
181.9000 7821.7000
183.0000 7869.0000
184.1000 7916.3000
185.2000 7963.6000
186.3000 8010.9000
187.4000 8058.2000
188.5000 8105.5000
189.6000 8152.8000
190.7000 8200.1000
191.8000 8247.4000
192.9000 8294.7000
194.0000 8342.0000
195.1000 8389.3000
196.2000 8436.6000
197.3000 8483.9000
198.4000 8531.2000
199.5000 8578.5000
